cruise,date,site,depth,time,volfilter,live,dead,total,percentdead
ws1,20100913,B250,1500-600,night,5872.6,14.66557707,6.753109707,21.41868678,0.315290558
ws1,20100913,B250,600-400,night,1681.6,7.431018078,2.778306375,10.20932445,0.272134203
ws1,20100913,B250,400-200,night,1656.8,15.12312892,4.538870111,19.66199903,0.230844794
ws1,20100913,B250,200-25,night,1357.1,141.1951956,4.432982094,145.6281777,0.030440415
ws1,20100913,B250,25-0,night,299.9,278.7062354,0.426808936,279.1330443,0.001529052
ws1,20100912,B250,1500-600,day,9379.8,7.565285879,4.988532114,12.55381799,0.397371709
ws1,20100912,B250,600-400,day,1780.7,10.17128096,1.509518729,11.68079969,0.129230769
ws1,20100912,B250,400-200,day,1413.6,0.399756081,0.050138898,0.449894979,0.111445783
ws1,20100912,B250,200-25,day,1182.6,35.98849992,10.39066464,46.37916455,0.22403734
ws1,20100912,B250,25-0,day,223.6,326.0107335,34.91949911,360.9302326,0.096748612
ws1,20100911,B248,1500-600,night,5355.4,8.704071153,6.225940273,14.93001143,0.417008406
ws1,20100911,B248,600-400,night,1533,17.45075016,7.264187867,24.71493803,0.293918919
ws1,20100911,B248,400-200,night,1539.1,35.13741797,5.239425638,40.37684361,0.129763131
ws1,20100911,B248,200-25,night,1396.9,228.8954113,10.2627246,239.1581359,0.042911877
ws1,20100911,B248,25-0,night,196.8,247.6422764,4.87804878,252.5203252,0.01931745
ws1,20100911,B247,1500-600,day,1940.2,6.135449954,3.100711267,9.23616122,0.335714286
ws1,20100911,B247,600-400,day,2259.8,47.80600053,11.89485795,59.70085848,0.199240987
ws1,20100911,B247,400-200,day,1786.2,68.47161572,8.133467697,76.60508342,0.106173994
ws1,20100911,B247,200-25,day,1697,154.3241014,9.35297584,163.6770772,0.057142857
ws1,20100911,B247,25-0,day,191.6,156.6597077,0.835073069,157.4947808,0.005302227
ws1,20100914,B001,1500-600,day,4545.1,20.64526309,35.12807839,55.77334148,0.62983636
ws1,20100914,B001,600-400,day,2044.1,23.70179119,12.80619655,36.50798774,0.350777935
ws1,20100914,B001,400-200,day,1827.7,71.94894453,21.88839797,93.8373425,0.233258929
ws1,20100914,B001,200-25,day,402.5,212.3534558,10.49868766,222.8521435,0.047110553
ws1,20100914,B001,25-0,day,2101.4,218.3529412,19.98190045,238.3348416,0.083839611
ws1,20100914,B001,1500-600,night,1980.3,24.12865423,15.49493306,39.62358729,0.391053262
ws1,20100914,B001,600-400,night,1941.7,14.42885772,4.845246048,19.27410376,0.251386322
ws1,20100914,B001,400-200,night,1920,64.46157672,10.34568515,74.80726188,0.138297872
ws1,20100914,B001,200-25,night,2666.7,181.9607843,10.647653,192.6084373,0.055281343
ws1,20100914,B001,25-0,night,997.5,1107.600214,10.26189204,1117.862106,0.009179927
ws1,20100916,B016,600-400,day,1075.3,34.51968504,21.66929134,56.18897638,0.385650224
ws1,20100916,B016,400-200,day,1777.3,32.89235748,12.06053107,44.95288855,0.268292683
ws1,20100916,B016,200-25,day,1844.3,116.9871986,9.145579041,126.1327776,0.072507553
ws1,20100916,B016,25-0,day,1844.4,243.047619,17.14285714,260.1904762,0.065885798
ws1,20100913,B081,1500-600,day,6268.6,10.57167442,31.83251813,42.40419255,0.750692708
ws1,20100913,B081,600-400,day,2430.8,37.29373329,21.02286902,58.31660232,0.360495437
ws1,20100913,B081,400-200,day,2276.4,40.89609984,18.77067083,59.66677067,0.3145917
ws1,20100913,B081,200-25,day,1383.5,127.1210698,7.216479942,134.3375497,0.053719008
ws1,20100913,B081,25-0,day,1608.4,66.06822262,8.42609216,74.49431478,0.11311054
ws1,20100913,B081,1500-600,night,7362.7,3.349557924,25.43759505,28.78715297,0.883644002
ws1,20100913,B081,600-400,night,2013.7,27.88484318,29.00551063,56.89035381,0.509849363
ws1,20100913,B081,400-200,night,167.1,41.5724123,25.67911945,67.25153175,0.381836945
ws1,20100913,B081,200-25,night,2678.3,107.0609982,7.615526802,114.676525,0.066408769
ws1,20100914,B081,25-0,night,1751.3,182.3012161,13.47053321,195.7717493,0.068807339
ws1,20100911,B083,1500-600,day,3129.9,3.736554196,15.50745606,19.24401026,0.805832872
ws1,20100911,B083,600-400,day,1343.6,47.18117492,10.68948494,57.87065987,0.184713376
ws1,20100911,B083,400-200,day,1222.2,46.36292882,10.72861163,57.09154044,0.187919463
ws1,20100911,B083,200-25,day,1602.5,94.82519013,5.602670022,100.4278602,0.055788006
ws1,20100911,B083,25-0,day,1218.3,118.8779378,10.6747536,129.5526914,0.082397004
ws1,20100911,B083,1500-600,night,3428.2,6.913773504,15.3770178,22.2907913,0.689837233
ws1,20100911,B083,600-400,night,1731.2,30.83689044,14.48712974,45.32402018,0.319634703
ws1,20100911,B083,400-200,night,1933.2,32.19546109,3.845657248,36.04111834,0.10670194
ws1,20100911,B083,200-25,night,442,136.5243367,1.237040942,137.7613776,0.008979592
ws1,20100915,B184,1500-600,day,2582.3,2.949468662,9.837345478,12.78681414,0.769335142
ws1,20100915,B184,600-400,day,1980.7,4.531490892,22.65745446,27.18894535,0.833333333
ws1,20100915,B184,400-200,day,269.2,23.98317108,13.96409178,37.94726285,0.367986799
ws1,20100915,B184,200-25,day,-999,108.5333333,8.933333333,117.4666667,0.076049943
ws1,20100915,B184,25-0,day,1994.2,61.69390788,6.419019316,68.11292719,0.094240838
ws1,20100915,B184,600-400,night,213.8,17.18512825,15.52502642,32.71015467,0.47462406
ws1,20100915,B184,400-200,night,3092.4,20.55893575,5.609982469,26.16891822,0.214375788
ws1,20100915,B184,200-25,night,168,145.6167745,8.280169529,153.896944,0.05380334
ws1,20100915,B184,25-0,night,263.8,347.9055901,11.4484472,359.3540373,0.031858407
ws3,20100927,B251,1500-600,day,5643,28.92304771,13.71191601,42.63496372,0.321612001
ws3,20100927,B251,600-400,day,1388.9,2.003414912,6.66287232,8.666287232,0.76882662
ws3,20100927,B251,400-200,day,936.2,25.26741482,3.348498635,28.61591346,0.117015263
ws3,20100927,B251,200-25,day,975.5,8.650745545,4.331838203,12.98258375,0.333665339
ws3,20100927,B251,25-0,day,217.2,4.364215172,2.870889556,7.235104728,0.3968
ws3,20100927,B251,1500-600,night,4018.1,191.3654115,12.65556253,204.020974,0.062030694
ws3,20100927,B251,600-400,night,2353.9,25.54607688,3.639810427,29.18588731,0.124711316
ws3,20100927,B251,400-200,night,2311.1,220.6998158,11.49171271,232.1915285,0.049492386
ws3,20100927,B251,200-25,night,1761.7,9.444095022,7.617204509,17.06129953,0.44646098
ws3,20100927,B251,25-0,night,178.8,0.267942584,9.148325359,9.416267943,0.971544715
ws3,20101001,SW6,1500-600,day,8784.3,210.6152239,22.46663059,233.0818545,0.096389445
ws3,20101001,SW6,600-400,day,1847.3,3.017796481,11.68179283,14.69958931,0.794701987
ws3,20101001,SW6,400-200,day,2091.7,13.54373803,5.487549029,19.03128706,0.288343558
ws3,20101001,SW6,200-25,day,1694.9,102.3475141,6.429523321,108.7770374,0.059107358
ws3,20101001,SW6,25-0,day,178.1,18.3412794,6.270236286,24.61151569,0.254768392
ws3,20101001,SW6,1500-600,night,9214.6,257.5158866,55.60848243,313.1243691,0.177592318
ws3,20101001,SW6,600-400,night,1918.2,48.96436896,5.914085914,54.87845488,0.10776699
ws3,20101001,SW6,400-200,night,1978.2,260.2264151,0.905660377,261.1320755,0.003468208
ws3,20101001,SW6,200-25,night,1878.5,370.8277405,16.46532438,387.2930649,0.042513863
ws3,20101001,SW6,25-0,night,212,6.945977081,9.507063603,16.45304068,0.577830189
ws3,20101002,SW8,1500-600,day,6663.7,307.4689903,19.94612643,327.4151167,0.060919992
ws3,20101002,SW8,600-400,day,949.5,5.44600939,3.807084934,9.253094324,0.411439114
ws3,20101002,SW8,400-200,day,1201.2,35.61522222,6.651870297,42.26709251,0.157377049
ws3,20101002,SW8,200-25,day,1198.7,9.576830249,11.12148029,20.69831054,0.537313433
ws3,20101002,SW8,25-0,day,241.2,10.74187827,13.17818056,23.92005883,0.550925926
